Country,Section ID,Section,Trade Value,Year
UAE,11,Textiles,2974080241,2014
UAE,12,Footwear and Headwear,232991628,2014
UAE,13,Stone And Glass,1865321470,2014
UAE,14,Precious Metals,34564148286,2014
UAE,15,Metals,15533375917,2014
UAE,16,Machines,16388899476,2014
UAE,17,Transportation,11945352961,2014
UAE,18,Instruments,1098060952,2014
UAE,19,Weapons,24778588,2014
UAE,20,Miscellaneous,1215445238,2014
UAE,21,Arts and Antiques,82053697,2014
UAE,1,Animal Products,1254286711,2015
UAE,2,Vegetable Products,2227105072,2015
UAE,3,Animal and Vegetable Bi-Products,659391427,2015
UAE,4,Foodstuffs,4030892376,2015
UAE,5,Mineral Products,2437403667,2015
UAE,6,Chemical Products,4972379740,2015
UAE,7,Plastics and Rubbers,6529535531,2015
UAE,8,Animal Hides,125692599,2015
UAE,9,Wood Products,276834813,2015
UAE,10,Paper Goods,917958476,2015
UAE,11,Textiles,3026698672,2015
UAE,12,Footwear and Headwear,186187784,2015
UAE,13,Stone And Glass,1412121955,2015
UAE,14,Precious Metals,34072284622,2015
UAE,15,Metals,13691010895,2015
UAE,16,Machines,15143139588,2015
UAE,17,Transportation,8887080591,2015
UAE,18,Instruments,1064847589,2015
UAE,19,Weapons,24539537,2015
UAE,20,Miscellaneous,844737525,2015
UAE,21,Arts and Antiques,77178749,2015
UAE,1,Animal Products,1047193995,2016
UAE,2,Vegetable Products,1985830708,2016
UAE,3,Animal and Vegetable Bi-Products,713965576,2016
UAE,4,Foodstuffs,4190331034,2016
UAE,5,Mineral Products,2323060213,2016
UAE,6,Chemical Products,4415303034,2016
UAE,7,Plastics and Rubbers,7020862071,2016
UAE,8,Animal Hides,96787222,2016
UAE,9,Wood Products,209500281,2016
UAE,10,Paper Goods,952778211,2016
UAE,11,Textiles,2594218434,2016
UAE,12,Footwear and Headwear,180746064,2016
UAE,13,Stone And Glass,1289867750,2016
UAE,14,Precious Metals,45086797830,2016
UAE,15,Metals,12841556862,2016
UAE,16,Machines,13626020737,2016
UAE,17,Transportation,7872792764,2016
UAE,18,Instruments,995087918,2016
UAE,19,Weapons,32453256,2016
UAE,20,Miscellaneous,810472273,2016
UAE,21,Arts and Antiques,52469371,2016
UAE,1,Animal Products,1458063100,2017
UAE,2,Vegetable Products,2237038894,2017
UAE,3,Animal and Vegetable Bi-Products,645597026,2017
UAE,4,Foodstuffs,4379655671,2017
UAE,5,Mineral Products,2245591996,2017
